question,references,corpus_id
為什麼內聚力對軟體設計很重要？,"[{""content"": ""\u70ba\u4ec0\u9ebc\u5167\u805a\u529b\u91cd\u8981\uff1f\u56e0\u70ba\u6211\u5011\u90fd\u5e0c\u671b\u8edf\u9ad4\u80fd\u5920\u5bb9\u6613\u88ab\u4fee\u6539\uff0c\u4e00\u65e6\u9700\u8981\u4fee\u6539\uff0c\u6211\u5011\u5e0c\u671b\u80fd\u5920\u8df3\u5230\u7a0b\u5f0f\u4e2d\u7684\u67d0\u4e00\u6bb5\uff0c\u7136\u5f8c\u53ea\u8981\u5728\u90a3\u88e1\u6539\u597d\u5c31\u53ef\u4ee5\u4e86\u3002"", ""start_index"": 12305, ""end_index"": 12368}, {""content"": ""\u4e00\u500b\u5167\u805a\u529b\u4e0d\u5920\u7684\u8edf\u9ad4\uff0c\u7576\u4f60\u8981\u4fee\u6539\u7a0b\u5f0f\u7684\u6642\u5019\u5c31\u5f97\u591a\u7ffb\u5f88\u591a\u5730\u65b9\uff0c\u6bcf\u9047\u5230\u67d0\u7a2e\u8b8a\u5316\uff0c\u800c\u8981\u4fee\u6539\u7684\u7a0b\u5f0f\u78bc\u6563\u4f48\u56db\u8655\uff0c\u4e0d\u4f46\u96e3\u4ee5\u627e\u5230\uff0c\u4e5f\u5f88\u5bb9\u6613\u5fd8\u8a18(\u5728\u91cd\u69cb\u4e00\u66f8\u7684\uff0c\u6307\u9019\u7a2e\u58de\u5473\u9053\u53eb\u505a\u6563\u5f48\u5f0f\u4fee\u6539)\u3002"", ""start_index"": 12368, ""end_index"": 12455}, {""content"": ""\u53e6\u4e00\u500b\u4f4e\u5167\u805a\u529b\u7684\u5f8c\u679c\u662f\u767c\u6563\u5f0f\u8b8a\u5316\uff1a\u6bd4\u5982\u8aaa\u4e00\u500b\u985e\u5225\u88e1\u9762\u6709\u4e94\u500b\u529f\u80fd\u5168\u7570\u7684\u51fd\u5f0f\uff0c\u90a3\u9ebc\u7576\u9019\u4e94\u500b\u51fd\u5f0f\u4efb\u4e00\u500b\u767c\u751f\u9700\u6c42\u6642\uff0c\u6211\u5011\u5c31\u5fc5\u9808\u8981\u53bb\u4fee\u6539\u9019\u500b\u985e\u5225\uff0c\u800c\u4e00\u500b\u983b\u65bc\u4fee\u6539\u7684\u4e0d\u7a69\u5b9a\u985e\u5225\u6703\u9020\u6210\u7dad\u8b77\u4e0a\u7684\u4e0d\u6613\u3002"", ""start_index"": 12457, ""end_index"": 12548}]",data/agile.txt
為什麼要在不同平台自動化測試？,"[{""content"": ""\u5728\u6211\u9019\u53f0\u6c92\u554f\u984c\u554a\uff0c\u70ba\u4ec0\u9ebc\u63db\u4e00\u53f0\u96fb\u8166\u5c31\u4e0d\u5c0d\u4e86? \u53ea\u8981\u63db\u4e00\u500b\u5e73\u53f0(\u5373\u4f7f\u662f\u4e0d\u540c\u7248\u672c\u7684\u4f5c\u696d\u7cfb\u7d71)\uff0c\u4e0d\u540c\u5c31\u662f\u4e0d\u540c\uff0c\u800c\u592a\u665a\u767c\u73fe\u9019\u6a23\u7684\u554f\u984c\u8981\u4fee\u7406\u662f\u975e\u5e38\u9ebb\u7169\u7684\uff0c\u5c24\u5176\u662f\u6b63\u8981 release \u7684\u6642\u5019\u624d\u767c\u73fe\u5b83\u6c92\u8fa6\u6cd5\u5728\u67d0\u67d0\u4f60\u60f3\u8981\u7684\u5e73\u53f0\u4e0a\u57f7\u884c\u3002"", ""start_index"": 8448, ""end_index"": 8557}, {""content"": ""\u6211\u5011\u7576\u7136\u53ef\u4ee5\u8981\u6c42 QA team \u8981\u5728\u4e0d\u540c\u5e73\u53f0\u4e0a\u6e2c\u8a66\uff0c\u4f46\u662f\u5982\u679c\u4ed6\u5011\u53ea\u662f\u624b\u52d5\u6e2c\u8a66\uff0c\u5c31\u4e0d\u5982\u81ea\u52d5\u6e2c\u8a66\u4f86\u7684\u53ca\u65e9\u767c\u73fe\u3002\u6211\u5011\u5df2\u7d93\u6703\u5728 commit \u7a0b\u5f0f\u524d\u5728\u81ea\u5df1\u96fb\u8166\u4e0a\u57f7\u884c\u4e00\u6b21 unit testing\uff0c\u73fe\u5728\u8981\u505a\u7684\u4e8b\u60c5\u662f\u8981\u5728\u4f60\u6240\u8981\u652f\u63f4\u7684\u4e0d\u540c\u5e73\u53f0\u3001\u4e0d\u540c\u7248\u672c\u4e0a\u518d\u6e2c\u8a66\u4e00\u6b21\u3002\u4e0d\u904e\u597d\u7d2f\u554a\uff0c\u9019\u6642\u5019\u5c31\u5fc5\u9808\u9760 continuous integration \u5de5\u5177\u4f86\u5e6b\u5fd9\uff0c\u6bcf\u7576\u6709\u4eba commit \u6642\uff0c\u9019\u500b\u5de5\u5177\u5c31\u6703\u81ea\u52d5 checkout \u51fa\u4f86\u57f7\u884c\u6e2c\u8a66\uff0c\u6211\u5011\u5206\u5225\u5728\u4e0d\u540c\u5e73\u53f0(\u4f8b\u5982\u53ef\u4ee5\u4f7f\u7528 VMware \u6216 Virtual PC)\u4e0a\u8a2d\u5b9a\u597d\u9019\u500b\u5de5\u5177\u4f86\u505a\u81ea\u52d5\u5316\u6e2c\u8a66\u3002"", ""start_index"": 8559, ""end_index"": 8821}]",data/agile.txt
如何避免違反 Liskov's Substitution Principle (LSP)?,"[{""content"": ""\u9055\u53cd LSP \u7684\u7684\u5f8c\u679c\u4e0d\u96e3\u60f3\u50cf\uff1a\u5047\u8a2d\u6709\u500b\u57fa\u790e\u578b\u5225 Base \u8ddf\u4ed6\u7684\u884d\u751f\u578b\u5225 Derived\uff0c\u800c\u6709\u500b\u51fd\u5f0f f \u53ef\u4ee5\u63a5\u53d7 Base \u985e\u5225\u7684\u7269\u4ef6\u7576\u4f5c\u53c3\u6578\uff0c\u63a5\u8457\u6211\u5011\u628a Derived \u8f49\u578b\u6210\u70ba Base \u4e4b\u5f8c\u4e1f\u9032 f \u88e1\u9762\uff0c\u5982\u679c\u6703\u7206\u70b8\u5c31\u8868\u793a Derived \u9055\u53cd LSP \u4e86\u3002\u9019\u6642\u5019 f \u7684\u4f5c\u8005\u70ba\u4e86\u4e0d\u8981\u7206\u70b8\uff0c\u6240\u4ee5\u53ea\u597d\u591a\u5beb\u578b\u5225\u5224\u65b7\u662f\u4e0d\u662f Dervied\uff0c\u65bc\u662f\u7a0b\u5f0f\u5c31\u8b8a\u9ad2\u4e86\u3002"", ""start_index"": 13692, ""end_index"": 13873}, {""content"": ""\u9055\u53cd LSP \u539f\u5247\uff0c\u4f60\u7684\u7e7c\u627f\u9ad4\u7cfb\u5373\u4f7f\u4ecd\u6709\u91cd\u7528\u6027\uff0c\u4f46\u537b\u958b\u59cb\u5931\u53bb\u64f4\u5145\u6027\uff0c\u56e0\u70ba\u985e\u5225\u7684\u7528\u6236\u5fc5\u9808\u77e5\u9053\u78ba\u5207\u7684\u578b\u5225\u624d\u80fd\u505a\u64cd\u4f5c\uff0c\u7576\u8981\u52a0\u5165\u65b0\u985e\u5225\u6642\u5c31\u8981\u5728\u7e7c\u627f\u9ad4\u7cfb\u4e2d\u4f86\u56de\u6aa2\u67e5\u3002"", ""start_index"": 13875, ""end_index"": 13952}, {""content"": ""\u53e6\u4e00\u7a2e\u9055\u53cd\u7684\u5f62\u5f0f\u662f\u884d\u751f\u985e\u5225\u6703\u4e1f\u51fa\u57fa\u790e\u985e\u5225\u4e0d\u6703\u4e1f\u51fa\u7684\u4f8b\u5916(exception)\uff0c\u9019\u6642\u5982\u679c\u57fa\u672c\u985e\u5225\u7684\u7528\u6236\u6c92\u6709\u9810\u671f\u5230\u9019\u7a2e\u60c5\u6cc1\uff0c\u90a3\u9ebc\u5728\u884d\u751f\u985e\u5225\u4e2d\u52a0\u5165\u9019\u4e9b\u4f8b\u5916\u5c31\u6703\u8b8a\u6210\u4e0d\u53ef\u66ff\u63db\u3002"", ""start_index"": 13954, ""end_index"": 14037}]",data/agile.txt
如何利用程式測試來獲得回饋？,"[{""content"": ""\u900f\u904e\u7a0b\u5f0f\u6e2c\u8a66\u5f97\u77e5\u76ee\u524d\u958b\u767c\u7684\u60c5\u5f62(Coding Feedback!)\u3002"", ""start_index"": 7638, ""end_index"": 7672}, {""content"": ""Code \u4e00\u76f4\u5728\u8b8a\uff0c\u6211\u5011\u9700\u8981\u4e00\u7a2e\u6301\u7e8c\u53c8\u5feb\u901f\u7684 feedback \u544a\u8a34\u6211\u5011\u9019\u4e9b\u7a0b\u5f0f\u78bc\u5efa\u4e0d\u5065\u5eb7\uff1a\u662f\u6211\u60f3\u8981\u7684\u7a0b\u5f0f\u55ce? \u6700\u5f8c\u7684 commit \u6709\u6c92\u6709\u5f04\u58de\u4efb\u4f55\u6771\u897f? \u9019\u6642\u4f60\u9700\u8981\u7684\u4e00\u7a2e\u6a5f\u5236\u53ef\u4ee5\u4e00\u76f4\u5e6b\u4f60\u78ba\u4fdd\u9019\u4e9b\uff0c\u4e5f\u5c31\u662f\u81ea\u52d5\u5316\u7684\u55ae\u5143\u6e2c\u8a66(unit tests)\u3002"", ""start_index"": 7714, ""end_index"": 7837}, {""content"": ""\u56e0\u70ba\u6e2c\u8a66\u7684\u6d41\u7a0b\u7e3d\u662f 1.Setup(\u8a2d\u5b9a\u521d\u59cb\u8cc7\u6599) 2.Exercise\uff08\u57f7\u884c\u67d0\u4e9b\u64cd\u4f5c) 3. Verify(\u9a57\u8b49\u8f38\u51fa\u7d50\u679c\u8207\u9810\u671f\u76f8\u540c) 4.Teardown(\u6e05\u7a7a\u8cc7\u6599)\uff0c\u6240\u4ee5\u76ee\u524d\u6bcf\u5957\u7a0b\u5f0f\u8a9e\u8a00\u4e00\u5b9a\u90fd\u6703\u6709\u4e00\u5957 xUnit framework \u7684\u6e2c\u8a66\u6846\u67b6\u53ef\u4f9b\u4f7f\u7528\u3002"", ""start_index"": 7839, ""end_index"": 7968}]",data/agile.txt
為什麼應該在終端產品製作之前先測試其使用方法？,"[{""content"": ""\u5728\u5beb\u7a0b\u5f0f\u524d\u5148\u5beb\u597d\u6e2c\u8a66\u7a0b\u5f0f\u3002\u900f\u904e\u5148\u5beb\u6e2c\u8a66\u7a0b\u5f0f\uff0c\u53ef\u4ee5\u5f9e\u4f7f\u7528API\u7684\u89c0\u9ede\u4f86\u601d\u8003\u600e\u9ebc\u5beb\u7a0b\u5f0f\u3001\u600e\u9ebc\u8a2d\u8a08API\uff0c\u56e0\u800c\u5beb\u51fa\u66f4\u597d\u7528\u3001\u4e00\u81f4\u53ca\u7c21\u6f54\u7684\u7a0b\u5f0f\u4ecb\u9762\u3002"", ""start_index"": 8339, ""end_index"": 8408}]",data/agile.txt
如何有效回報錯誤以節省時間？,"[{""content"": ""\u8aaa\u5230\u9664\u932f\uff0c\u6211\u4e5f\u63a8\u85a6\u95b1\u8b80\u5982\u4f55\u6709\u6548\u5730\u5831\u544a\u932f\u8aa4\u9019\u4e00\u7bc7\u6587\u7ae0\uff0c\u8ac7\u7684\u662f\u5982\u4f55\u6b63\u78ba\u56de\u5831\u932f\u8aa4\uff0c\u597d\u7684\u932f\u8aa4\u56de\u5831\u53ef\u4ee5\u7bc0\u7701\u5f88\u591a\u6642\u9593\uff0c\u800c\u4e0d\u50c5\u50c5\u53ea\u662f\u4e00\u53e5 \u201c\u7a0b\u5f0f\u4e0d\u6703\u52d5\u201d \u800c\u5df2\u3002"", ""start_index"": 14467, ""end_index"": 14540}]",data/agile.txt
如何通過減少程式註解來提高程式碼可讀性？,"[{""content"": ""\u8a3b\u89e3\u662f\u7528\u4f86\u5beb\u76ee\u7684\u3001\u9650\u5236\u689d\u4ef6\u8ddf\u9810\u671f\u7d50\u679c\u7b49\uff0c\u800c\u4e0d\u662f\u5beb\u51fa\u4ee5\u4e0b\u9019\u4e9b\u7a0b\u5f0f\u4e00\u884c\u884c\u6703\u505a\u4e9b\u4ec0\u9ebc(\u8acb\u4e0d\u8981\u62ff\u8a3b\u89e3\u518d\u5beb\u4e00\u6b21\u7a0b\u5f0f\u78bc\u5728\u5beb\u7684\u4e8b\u60c5)\u3002"", ""start_index"": 10458, ""end_index"": 10518}, {""content"": ""\u4f60\u8981\u505a\u7684\u4e8b\u60c5\u61c9\u8a72\u662f\u8b93 source code \u672c\u8eab\u5bb9\u6613\u4e86\u89e3\uff0c\u800c\u4e0d\u662f\u900f\u904e\u8a3b\u89e3\u3002"", ""start_index"": 10660, ""end_index"": 10698}, {""content"": ""\u900f\u904e\u6b63\u78ba\u7684\u8b8a\u6578\u547d\u540d\u3001\u597d\u7684\u7a7a\u767d\u9593\u9694\u3001\u908f\u8f2f\u5206\u96e2\u6e05\u695a\u7684\u57f7\u884c\u8def\u5f91\u7b49\u624b\u6cd5\uff0c\u6211\u5011\u5f88\u5c11\u9700\u8981\u5728\u51fd\u5f0f\u88e1\u9762\u8a3b\u660e\u9019\u4e9b\u7a0b\u5f0f\u5728\u505a\u4ec0\u9ebc\uff0c\u6211\u81ea\u5df1\u7684\u7d93\u9a57\u9664\u975e\u662f\u6709\u53c3\u8003\u5916\u90e8\u7684\u7a0b\u5f0f\u78bc\u6216\u8907\u96dc\u6f14\u7b97\u6cd5\uff0c\u6211\u6703\u591a\u8a3b\u660e\u53c3\u8003\u4f86\u6e90(\u7db2\u5740)\u3002"", ""start_index"": 10698, ""end_index"": 10791}, {""content"": ""\u5426\u5247\u6c92\u6709\u5fc5\u8981\u7684\u8a3b\u89e3\u5c0d\u6211\u4f86\u8aaa\u5c31\u50cf\u566a\u97f3\u4e00\u6a23\uff0c\u59a8\u7919\u95b1\u8b80\u3002"", ""start_index"": 10791, ""end_index"": 10816}]",data/agile.txt
為何agile開發建議盡早開始開發階段而非詳細設計？,"[{""content"": ""agile \u5efa\u8b70\u76e1\u65e9\u958b\u59cb\u7684\u7406\u7531\u662f\uff0c\u518d\u591a\u7684\u8a2d\u8a08\u4e5f\u53ea\u662f\u57fa\u65bc\u4f60\u5c0d\u7576\u524d\u7684\u9700\u6c42\u4e86\u89e3\uff0c\u4e00\u65e6\u958b\u59cb coding\uff0c\u4e00\u5207\u90fd\u6703\u8b8a\u5316\uff0c\u4e0d\u9700\u8981\u628a\u6642\u9593\u6d6a\u8cbb\u5728\u8a73\u76e1\u7684\u8a2d\u8a08\u3002"", ""start_index"": 3604, ""end_index"": 3675}, {""content"": ""\u7576 designer \u8981\u6c42 coder \u5fc5\u9808\u6309\u7167\u8a2d\u8a08\u5be6\u505a\uff0c\u4f46\u662f\u7cfb\u7d71\u73fe\u5be6\u548c\u5df2\u7d93\u5b58\u5728\u7684\u7a0b\u5f0f\u544a\u8a34 coder \u9019\u4e26\u4e0d\u6703\u662f\u6700\u597d\u7684\u8a2d\u8a08\uff0c\u771f\u662f\u7cdf\u7cd5\uff0c\u8a2d\u8a08\u7684\u6642\u9593\u5df2\u7d93\u82b1\u4e86\uff0c\u6c92\u6709\u6642\u9593\u91cd\u4f86\u3002"", ""start_index"": 3803, ""end_index"": 3888}, {""content"": ""agile \u7684\u7cbe\u795e\u4e0d\u662f\u544a\u8a34\u4f60\u8a2d\u8a08\u3001\u8a08\u756b\u4e0d\u91cd\u8981\uff0c\u7f3a\u5c11\u4efb\u4f55\u8a2d\u8a08\u5c31\u9032\u5165 coding \u662f\u975e\u5e38\u5371\u96aa\u7684\uff0c\u5c31\u50cf\u7f8e\u570b\u7e3d\u7d71\u827e\u68ee\u8c6a\u6240\u8aaa\u5f97 \u201d The plan is worthless. The planning is essential.\u201d\uff0c\u8a2d\u8a08\u7684\u904e\u7a0b\u624d\u662f\u6536\u7a6b\u6700\u591a\u7684\u5730\u65b9\u3002"", ""start_index"": 4290, ""end_index"": 4418}]",data/agile.txt
為什麼迭代開發週期要儘快釋出可用版本？,"[{""content"": ""\u6709\u4e86\u4e00\u5230\u56db\u5468\u7684\u958b\u767c\u9031\u671f\uff0c\u63a5\u4e0b\u4f86\u6211\u5011\u9084\u5e0c\u671b\u4e0a\u7dda\u7684 release \u662f\u4ee5 1~6\u500b\u6708\u70ba\u9031\u671f\uff0c\u91cb\u51fa\u5373\u4f7f\u529f\u80fd\u5c11\uff0c\u4f46\u662f\u7a69\u5b9a\u53ef\u4ee5\u904b\u4f5c\uff0c\u53ef\u4ee5\u63d0\u4f9b\u5ba2\u6236\u64cd\u4f5c\u50f9\u503c\u7684\u7248\u672c\u3002"", ""start_index"": 6813, ""end_index"": 6888}, {""content"": ""\u5feb\u9ede\u4e0a\u7dda\u7684\u597d\u8655\u662f\u53ef\u4ee5\u5118\u5feb\u7372\u5f97\u6536\u76ca\uff0c\u8b93\u5c08\u6848\u66f4\u6709\u529b\u91cf\u7e7c\u7e8c\u9032\u884c\uff0c\u5f97\u5230 user feedback \u4ec0\u9ebc\u662f\u7528\u6236\u771f\u6b63\u6700\u60f3\u8981\u7684\u529f\u80fd\uff0c\u4ec0\u9ebc\u662f\u4f60\u672c\u4f86\u60f3\u8981\u4f46\u662f\u5176\u5be6\u5ba2\u6236\u4e0d\u9700\u8981\u7684\u529f\u80fd\u3002"", ""start_index"": 7036, ""end_index"": 7117}, {""content"": ""\u958b\u767c\u4eba\u54e1\u4e5f\u5e0c\u671b\u5feb\u9ede\u5f97\u5230\u6210\u679c\uff0c\u4e00\u500b\u8a08\u756b\u4e00\u5e74\u5f8c\u624d\u91cb\u51fa\u7684\u8edf\u9ad4\u8b93\u4eba\u63d0\u4e0d\u8d77\u52c1\uff0c\u80fd\u5f97\u5230\u771f\u6b63\u7528\u6236\u7684\u6b63\u5411\u9f13\u52f5\u7d55\u5c0d\u6709\u52a9\u65bc\u751f\u7522\u529b\u3002"", ""start_index"": 7117, ""end_index"": 7172}]",data/agile.txt
如何透過及時的客戶決策來省時省力？,"[{""content"": ""\u7576\u78b0\u5230\u8a2d\u8a08\u4e0a\u7684\u6c7a\u7b56\u6642\uff0c\u5c24\u5176\u662f business-critical \u6c7a\u7b56\uff0c\u4f8b\u5982\u6709\u5169\u500b\u89e3\u6c7a\u65b9\u6848\uff0c\u4e00\u500b\u8907\u96dc\u8017\u6642\u9577\uff0c\u53e6\u4e00\u500b\u8f03\u7c21\u55ae\u82b1\u8f03\u5c11\u6642\u9593\u3002\u9019\u6642\u4e0d\u8981\u81ea\u5df1\u5148\u6c7a\u5b9a\uff0c\u800c\u662f\u6e96\u5099\u597d\u8cc7\u6599(\u512a\u7f3a\u9ede\u8ddf\u8017\u6642\u4f30\u7b97)\u5411\u91d1\u4e3b(\u5ba2\u6236)\u4e26\u7528\u4ed6\u5011\u807d\u7684\u61c2\u7684\u8a9e\u8a00\uff0c\u8b93\u4ed6\u5011\u6c7a\u5b9a\u3002\u6211\u81ea\u5df1\u7684\u7d93\u9a57\u662f\u5e38\u5e38\u4f60\u6253\u7b97\u505a\u7684\u6c92\u6709\u5ba2\u6236\u60f3\u8981\u7684\u9019\u9ebc\u8907\u96dc\u5537\uff0c\u9019\u6642\u5019\u5c31\u53ef\u4ee5\u7701\u4e0b\u9019\u4e9b\u6642\u9593\u53bb\u505a\u771f\u6b63\u5ba2\u6236\u8981\u7684\u3002"", ""start_index"": 3176, ""end_index"": 3341}]",data/agile.txt
